feature_set,classifier,run,number_of_features,train_accuracy,test_accuracy,fit_and_predict_seconds
Labeled simplets (12 dim),Logistic regression,1,88,0.8103448275862069,0.811713260199181,0.020862817764282227
Labeled simplets (12 dim),Linear SVM,1,88,0.8103448275862069,0.8102472069157272,0.06618618965148926
Labeled simplets (12 dim),SVM,1,88,0.8103448275862069,0.7984935038673474,1.069800615310669
Labeled simplets (12 dim),KNN,1,88,0.8074712643678161,0.8105505282847176,1.457904577255249
Labeled simplets (12 dim),Decision tree,1,88,0.8103448275862069,0.8099944391082352,0.00958108901977539
Labeled simplets (all),Logistic regression,1,111,0.828735632183908,0.8147211971083362,0.02927112579345703
Labeled simplets (all),Linear SVM,1,111,0.828735632183908,0.8107527425307113,0.07926630973815918
Labeled simplets (all),SVM,1,111,0.828735632183908,0.8046863151509024,1.2236316204071045
Labeled simplets (all),KNN,1,111,0.8178160919540229,0.8296850513118649,1.3849363327026367
Labeled simplets (all),Decision tree,1,111,0.828735632183908,0.8080734037712957,0.010340452194213867
Unlabeled simplets,Logistic regression,1,272,0.5793103448275863,0.2461200141549972,0.13170886039733887
Unlabeled simplets,Linear SVM,1,272,0.5488505747126436,0.24586724634750518,0.07213211059570312
Unlabeled simplets,SVM,1,272,0.6258620689655172,0.25640766391992315,5.209898233413696
Unlabeled simplets,KNN,1,272,0.8189655172413793,0.2425812648501087,1.5920770168304443
Unlabeled simplets,Decision tree,1,272,0.8281609195402299,0.23578181082857289,0.06405901908874512
Shuffled-label simplets,Logistic regression,1,37,0.2672413793103448,0.1924826854051868,0.02255725860595703
Shuffled-label simplets,Linear SVM,1,37,0.26666666666666666,0.19276072999342803,0.02674412727355957
Shuffled-label simplets,SVM,1,37,0.30344827586206896,0.19875132703098933,1.6254050731658936
Shuffled-label simplets,KNN,1,37,0.26666666666666666,0.2380061675345028,1.9776060581207275
Shuffled-label simplets,Decision tree,1,37,0.3114942528735632,0.19147161417521866,0.008777856826782227
UniGCNII embeddings,Logistic regression,1,64,0.9103448275862069,0.9087760982761236,0.07951831817626953
UniGCNII embeddings,Linear SVM,1,64,0.9126436781609195,0.9099135534098377,0.07596683502197266
UniGCNII embeddings,SVM,1,64,0.9040229885057471,0.9095849552600981,1.3414006233215332
UniGCNII embeddings,KNN,1,64,0.9982758620689656,0.9021788585005813,0.12071466445922852
UniGCNII embeddings,Decision tree,1,64,0.9982758620689656,0.857110358424751,0.08709359169006348
Labeled simplets (12 dim),Logistic regression,2,88,0.8155172413793104,0.8167433395682726,0.021352291107177734
Labeled simplets (12 dim),Linear SVM,2,88,0.8155172413793104,0.8159597593650473,0.08217716217041016
Labeled simplets (12 dim),SVM,2,88,0.8149425287356322,0.7987715484555887,1.0336647033691406
Labeled simplets (12 dim),KNN,2,88,0.8120689655172414,0.8120165815681715,1.4976747035980225
Labeled simplets (12 dim),Decision tree,2,88,0.8155172413793104,0.8155047773115616,0.009702444076538086
Labeled simplets (all),Logistic regression,2,111,0.8367816091954023,0.8460896820180982,0.02372908592224121
Labeled simplets (all),Linear SVM,2,111,0.8367816091954023,0.8398210403922957,0.07100272178649902
Labeled simplets (all),SVM,2,111,0.8362068965517241,0.835523987664931,1.1507925987243652
Labeled simplets (all),KNN,2,111,0.828735632183908,0.8326929882210202,1.492133617401123
Labeled simplets (all),Decision tree,2,111,0.8367816091954023,0.8345887467772104,0.010492086410522461
Unlabeled simplets,Logistic regression,2,272,0.5775862068965517,0.2285779283150498,0.09786081314086914
Unlabeled simplets,Linear SVM,2,272,0.5505747126436782,0.2298164905717608,0.07213902473449707
Unlabeled simplets,SVM,2,272,0.6189655172413793,0.2406855062939184,5.13378119468689
Unlabeled simplets,KNN,2,272,0.8063218390804597,0.24811687983418432,1.6135828495025635
Unlabeled simplets,Decision tree,2,272,0.8178160919540229,0.22167736717051717,0.060269832611083984
Shuffled-label simplets,Logistic regression,2,37,0.24770114942528734,0.18138617865628634,0.02083563804626465
Shuffled-label simplets,Linear SVM,2,37,0.24885057471264369,0.18204337495576564,0.02242112159729004
Shuffled-label simplets,SVM,2,37,0.29367816091954024,0.17908599160810879,1.6574792861938477
Shuffled-label simplets,KNN,2,37,0.2810344827586207,0.1951367473838532,1.4816484451293945
Shuffled-label simplets,Decision tree,2,37,0.3017241379310345,0.18259946413224812,0.009714841842651367
UniGCNII embeddings,Logistic regression,2,64,0.9218390804597701,0.9092563571103585,0.0909271240234375
UniGCNII embeddings,Linear SVM,2,64,0.9206896551724137,0.9085486072493807,0.12746238708496094
UniGCNII embeddings,SVM,2,64,0.914367816091954,0.9094080177948537,1.2542526721954346
UniGCNII embeddings,KNN,2,64,0.9959770114942529,0.9055153935594763,0.11664867401123047
UniGCNII embeddings,Decision tree,2,64,0.9959770114942529,0.8557959658257924,0.07738161087036133
Labeled simplets (12 dim),Logistic regression,3,88,0.8155172413793104,0.8122693493756635,0.019173860549926758
Labeled simplets (12 dim),Linear SVM,3,88,0.8155172413793104,0.8122693493756635,0.0862417221069336
Labeled simplets (12 dim),SVM,3,88,0.8155172413793104,0.7975077094181285,1.0271382331848145
Labeled simplets (12 dim),KNN,3,88,0.8068965517241379,0.8306961225418331,1.5415270328521729
Labeled simplets (12 dim),Decision tree,3,88,0.8155172413793104,0.8105252515039685,0.009657859802246094
Labeled simplets (all),Logistic regression,3,111,0.8281609195402299,0.8157575451190536,0.02050018310546875
Labeled simplets (all),Linear SVM,3,111,0.8281609195402299,0.8114352156109398,0.09267592430114746
Labeled simplets (all),SVM,3,111,0.8281609195402299,0.7952580759314494,1.1106271743774414
Labeled simplets (all),KNN,3,111,0.8258620689655173,0.8305191850765886,1.4969911575317383
Labeled simplets (all),Decision tree,3,111,0.8281609195402299,0.808730600070775,0.010709285736083984
Unlabeled simplets,Logistic regression,3,272,0.5695402298850575,0.24521005004802587,0.13408637046813965
Unlabeled simplets,Linear SVM,3,272,0.5333333333333333,0.24619584449724483,0.08736634254455566
Unlabeled simplets,SVM,3,272,0.6362068965517241,0.2519589505080633,7.1579201221466064
Unlabeled simplets,KNN,3,272,0.8155172413793104,0.2419240685506294,1.8562636375427246
Unlabeled simplets,Decision tree,3,272,0.832183908045977,0.2365653910317982,0.06271004676818848
Shuffled-label simplets,Logistic regression,3,37,0.24597701149425288,0.18459632981143523,0.02323603630065918
Shuffled-label simplets,Linear SVM,3,37,0.25,0.18757898993984126,0.01772928237915039
Shuffled-label simplets,SVM,3,37,0.28563218390804596,0.19030888226075526,2.8197433948516846
Shuffled-label simplets,KNN,3,37,0.2574712643678161,0.25519437844396137,2.974670648574829
Shuffled-label simplets,Decision tree,3,37,0.2925287356321839,0.187048177544108,0.011490345001220703
UniGCNII embeddings,Logistic regression,3,64,0.9195402298850575,0.9099641069713361,1.3089497089385986
UniGCNII embeddings,Linear SVM,3,64,0.9224137931034483,0.9094080177948537,0.17142200469970703
UniGCNII embeddings,SVM,3,64,0.9183908045977012,0.9089783125221171,2.660888910293579
UniGCNII embeddings,KNN,3,64,0.9994252873563219,0.8995500733026641,0.9383349418640137
UniGCNII embeddings,Decision tree,3,64,0.9994252873563219,0.8614832414943633,0.10861086845397949
Labeled simplets (12 dim),Logistic regression,4,88,0.8143678160919541,0.8164652949800314,0.22025632858276367
